X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-122.9433,42.077,train,0.0026439995494840314,53.99002481486167,0.768699924550468
-122.28472,41.06805,train,0.0022724224545795373,48.517327578941156,0.7158602712054298
-122.96445280086724,41.428528678971475,train,0.012009806353476541,95.00099594642512,0.9987060916725601
-122.28472,41.06805,train,0.0022724224545795373,48.517327578941156,0.7158602712054298
-122.1503,44.1914,train,1.9911290665664704E-4,8.844162546619392,0.10439256837646971
-123.51167,41.23472,train,0.0013958184811445995,32.66375435086387,0.5383252758959254
-122.9433,42.077,train,0.0026439995494840314,53.99002481486167,0.768699924550468
-123.1021,42.0464,train,0.002863690085773957,56.44038104479286,0.7951929076411138
-122.96445280086724,41.428528678971475,train,0.012009806353476541,95.00099594642512,0.9987060916725601
-122.7463,42.1533,train,0.003711269355071784,64.51581740549601,0.8719083961517836
-123.4047,42.0958,train,0.0025535627488521796,53.20707995665952,0.7568222406444944
-123.46495898576246,41.07642966761672,train,0.0071400871021078385,83.01363649843148,0.9808148685811562
-122.1503,44.1914,train,1.9911290665664704E-4,8.844162546619392,0.10439256837646971
-121.77150579135221,40.848188142511844,train,0.009260274207205316,91.78449292983369,0.9940692991093631
-122.96445280086724,41.428528678971475,train,0.012009806353476541,95.00099594642512,0.9987060916725601
-121.5203,45.7056,train,0.007152321214486266,85.15816344602624,0.9809443950239587
-123.136,42.5856,train,0.0026484159304294877,54.78345552931433,0.7692648651302376
-122.8655155538058,41.11206442551089,train,0.01396078426847041,99.99995969131918,0.9995607256239416
-122.3238,42.9016,train,8.732404408678903E-4,21.755608744959346,0.3833982975384511
-121.5203,45.7056,train,0.007152321214486266,85.15816344602624,0.9809443950239587
-122.96445280086724,41.428528678971475,train,0.012009806353476541,95.00099594642512,0.9987060916725601
-122.68267,41.75868,train,3.706723687808649E-4,12.710959211675853,0.1855557158306813
-123.3814,42.1258,train,0.0013855497097536886,32.54686668162076,0.5356926978243091
-122.7069,42.0914,train,5.962855810773839E-4,16.801551550878717,0.281202889124305
-121.46333,45.715,train,0.008312759673014248,88.24848146444369,0.9899778107025528
-120.43444,38.56778,train,0.004278985706457858,69.38656326852416,0.9064600220892053
-120.43444,38.56778,train,0.004278985706457858,69.38656326852416,0.9064600220892053
-121.8325,40.90611,train,0.008830745533485826,89.97537571789294,0.992476874629078
-123.46495898576246,41.07642966761672,train,0.0071400871021078385,83.01363649843148,0.9808148685811562
-121.77150579135221,40.848188142511844,train,0.009260274207205316,91.78449292983369,0.9940692991093631
-121.8325,40.90611,train,0.008830745533485826,89.97537571789294,0.992476874629078
-118.066667,45.983333,train,5.675235397361811E-4,16.412289065300325,0.2696635662960909
-123.5292,41.9907,train,0.0017668442577332094,39.65175744474616,0.6240652334929232
-122.6175,42.27,test,0.0037053682315254357,64.46653979278781,0.8714891621559478
-122.96445280086724,41.428528678971475,test,0.012009806353476541,95.00099594642512,0.9987060916725601
-122.68454520386886,41.99606294012204,test,6.765810085167172E-4,18.651674231334525,0.31246149764403686
-123.4341,42.1199,test,0.0011852280407447836,28.52091501807418,0.48122563649072936
-123.53725084469595,41.08796883920146,test,0.004490815291185118,70.7159989757115,0.916812730792036
-123.4047,42.0958,test,0.0025535627488521796,53.20707995665952,0.7568222406444944
-122.7171,42.1837,test,1.4792247955908332E-4,7.566966938904499,0.07864314820508678
-120.45364272132403,38.54614085933125,test,0.002611361697902325,53.68458459376101,0.7644818041071988
-123.5292,41.9907,test,0.0017668442577332094,39.65175744474616,0.6240652334929232
-121.834,40.864999999066356,test,0.0021612296736634846,46.71795154895645,0.6978160454818926
