Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.26889E-12,0.000000001,0.000000003,0.999501645,0,0
1.98733E-11,0.000000003,0.000000009,0.999401973,0,0
2.54805E-11,0.000000011,0.000000011,0.99910296,0,0
5.30103E-11,0.000000029,0.000000024,0.998704276,0,0
8.30503E-11,0.000000107,0.000000037,0.997607894,0,0
1.27578E-10,0.000000261,0.000000058,0.996212499,0,0
2.28562E-10,0.000001012,0.000000103,0.992225655,0,0
3.54268E-10,0.000002525,0.00000016,0.98714243,0,0
8.5637E-10,0.000010072,0.000000386,0.97428486,0,0
1.39689E-9,0.000025129,0.00000063,0.960829263,0,0
2.22092E-9,0.000050122,0.000001002,0.946875311,0,0
3.64149E-9,0.00010031,0.000001643,0.929731885,0,0
6.95641E-9,0.000250322,0.000003138,0.901225954,0,0
1.12519E-8,0.000500278,0.000005076,0.873716735,0,0
2.00403E-8,0.001001876,0.00000904,0.841024619,0,0
3.96885E-8,0.002500391,0.000017903,0.790192365,0,0
6.87469E-8,0.005000059,0.00003101,0.743047942,0,0
1.12256E-7,0.010010422,0.000050636,0.687531147,0,0
2.33545E-7,0.025004604,0.000105343,0.597727499,0,0
4.27429E-7,0.050027404,0.000192789,0.519585368,0,0
8.48692E-7,0.100024082,0.000382761,0.438353434,0,0
1.71153E-6,0.200049862,0.000771752,0.357320841,0,0
2.6888E-6,0.30024948,0.001212147,0.311173129,0,0
3.79622E-6,0.400120034,0.001710961,0.279976079,0,0
4.94558E-6,0.500423947,0.002228399,0.256952058,0,0
6.07167E-6,0.600282276,0.002735105,0.238811921,0,0
7.36127E-6,0.700044509,0.003315068,0.223960929,0,0
8.0728E-6,0.750271667,0.003634914,0.217482308,0,0
8.86542E-6,0.800106912,0.00399109,0.211601714,0,0
1.01597E-5,0.900226715,0.004572417,0.20113625,0,0
1.15544E-5,1.000972239,0.005198501,0.191866839,0,0
1.32419E-5,1.100635986,0.005955428,0.183893153,0,0
1.47585E-5,1.201151314,0.006635271,0.176716834,0,0
1.66202E-5,1.301612451,0.007469137,0.170337885,0,0
1.80151E-5,1.400228529,0.008093455,0.164656633,0,0
1.94048E-5,1.501307443,0.008715037,0.159274394,0,0.2
2.27271E-5,1.750155859,0.010199514,0.147513206,0,0.2
2.67384E-5,2.001007011,0.011988881,0.137346756,0,0.2
3.21457E-5,2.251917899,0.014395902,0.128874713,0,0.2
3.64181E-5,2.502936812,0.016293536,0.121598724,0,0.2
