Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.51455E-12,0.000000001,0.000000004,0.999401973,0,0
1.11323E-11,0.000000003,0.000000006,0.999202631,0,0
1.80211E-11,0.000000011,0.000000009,0.998704276,0,0
3.37402E-11,0.000000026,0.000000017,0.998106249,0,0
1.02713E-10,0.000000107,0.000000052,0.996910196,0,0
1.93094E-10,0.00000026,0.000000098,0.995913485,0,0
3.81912E-10,0.000001035,0.000000193,0.993322037,0,0
5.73479E-10,0.000002521,0.00000029,0.990331905,0,0
1.30475E-9,0.000010078,0.000000659,0.982158876,0,0
2.30975E-9,0.000025224,0.000001167,0.973487491,0,0
3.72088E-9,0.000050249,0.00000188,0.965015449,0,0
5.50755E-9,0.000100145,0.000002783,0.954151301,0,0
9.60505E-9,0.000250791,0.000004853,0.934117413,0,0
1.39434E-8,0.000500464,0.000007046,0.912987142,0,0
2.17116E-8,0.001002142,0.000010971,0.884580883,0,0
4.20151E-8,0.002502655,0.00002123,0.836240407,0,0
6.76327E-8,0.005001157,0.000034175,0.791089405,0,0
1.12747E-7,0.010011183,0.00005697,0.734775242,0,0
2.44339E-7,0.025008978,0.000123458,0.647463371,0,0
4.49223E-7,0.05002008,0.000226969,0.574105452,0,0
8.3476E-7,0.100041047,0.00042172,0.494567926,0,0
1.57512E-6,0.200089619,0.000795601,0.409149806,0,0
2.34106E-6,0.300092308,0.00118225,0.357520183,0,0
3.25274E-6,0.400297131,0.001642278,0.321339579,0,0
4.11987E-6,0.500296602,0.002079626,0.294129373,0,0
5.0648E-6,0.600225823,0.002555998,0.272301405,0,0
6.01159E-6,0.700455554,0.003033082,0.254260939,0,0
6.54454E-6,0.750234132,0.003301529,0.246386923,0,0
7.04909E-6,0.800573892,0.003555606,0.239011263,0,0
8.34566E-6,0.900619449,0.004208227,0.225954351,0,0
9.55463E-6,1.000667339,0.004816369,0.214791189,0,0
1.07638E-5,1.100433647,0.005424237,0.204923752,0,0
1.18775E-5,1.200962851,0.00598378,0.196053025,0,0
1.30984E-5,1.300825267,0.006596836,0.188079338,0,0
1.46324E-5,1.400508056,0.007366541,0.18090302,0,0
1.5942E-5,1.501375617,0.008023209,0.174324728,0,0
1.97395E-5,1.751828629,0.009924922,0.160271105,0,0
2.36143E-5,2.001510153,0.011861526,0.148808931,0,0
2.708E-5,2.250338391,0.013590481,0.138941493,0,0
3.13145E-5,2.501687479,0.015698865,0.13036978,0,0
3.52882E-5,2.751625458,0.017673268,0.122894448,0,0
3.93983E-5,3.003140999,0.019711311,0.116216486,0,0
4.45219E-5,3.250805785,0.022245983,0.110335892,0,0
4.87414E-5,3.501972939,0.024328478,0.104953653,0,0
5.39898E-5,3.752120845,0.026912553,0.10006977,0,0
5.99593E-5,4.000999185,0.029843366,0.095684242,0,0
6.5693E-5,4.251471943,0.032650148,0.091697399,0,0
7.26122E-5,4.501118019,0.036026375,0.08810924,0,0
7.75505E-5,4.755237456,0.038428837,0.084720423,0,0
8.31486E-5,5.00459424,0.041145017,0.081630619,0,0
9.27495E-5,5.258848504,0.045785547,0.078740157,0,0
9.86732E-5,5.508459211,0.048637486,0.076148709,0,0
1.03923E-4,5.751160857,0.051157825,0.073756603,0,0
1.11261E-4,6.009571711,0.054669654,0.071364497,0,0
1.22017E-4,6.254998785,0.059793592,0.069271404,0,0
1.3048E-4,6.50558818,0.063805865,0.067277983,0,0
1.3545E-4,6.757854915,0.066154036,0.065384232,0,0
1.41608E-4,7.007055783,0.069055057,0.063590152,0,0
1.49215E-4,7.25418814,0.072626985,0.061895744,0,0
1.59787E-4,7.515690464,0.077567625,0.060201336,0,0
1.70174E-4,7.764088435,0.082396531,0.058706269,0,0
1.79608E-4,8.00944854,0.08676035,0.057310874,0,0
1.8971E-4,8.267493478,0.091410027,0.055915479,0,0
1.95551E-4,8.518348055,0.094088128,0.054619755,0,0
2.11619E-4,8.764103936,0.101413524,0.053423702,0,0.1
2.24692E-4,9.005106814,0.107329599,0.05232732,0,0.1
2.38864E-4,9.262441455,0.11369958,0.051230938,0,0.1
2.51481E-4,9.50914848,0.119332004,0.050234227,0,0.1
2.6357E-4,9.767131578,0.124695408,0.049237516,0,0.1
2.68075E-4,10.007613398,0.126685588,0.048340476,0,0.1
2.82545E-4,10.25551163,0.133047866,0.047443437,0,0.1
2.92319E-4,10.51408157,0.137319007,0.046546397,0,0.1
3.03836E-4,10.75435131,0.142324869,0.045749028,0,0.1
3.13438E-4,11.00108709,0.146476257,0.04495166,0,0.1
3.25148E-4,11.257459998,0.151511682,0.044154291,0,0.1
3.38003E-4,11.525179823,0.157005319,0.043356922,0,0.1
3.53449E-4,11.768698961,0.163559242,0.042659225,0,0.1
3.61038E-4,12.018843196,0.166760689,0.041961527,0,0.1
3.80258E-4,12.278404116,0.174813868,0.041263829,0,0.1
3.94837E-4,12.511364036,0.180870571,0.040665803,0,0.1
4.09576E-4,12.753700809,0.186948698,0.040067776,0,0.1
4.24669E-4,13.003755328,0.193126025,0.03946975,0,0.1
4.37239E-4,13.262626003,0.19823466,0.038871723,0,0.1
4.55406E-4,13.528375294,0.20556109,0.038273697,0,0.1
4.75496E-4,13.762952744,0.213585067,0.037775341,0,0.1
4.93598E-4,14.006465443,0.220745644,0.037276986,0,0.1
5.1923E-4,14.261682977,0.230773509,0.036778631,0,0.1
5.3405E-4,14.52606835,0.2365125,0.036280275,0,0.1
5.56407E-4,14.800154516,0.245088983,0.03578192,0,0.1
5.65839E-4,15.025279224,0.248678331,0.035383235,0,0.1
5.72102E-4,15.253288682,0.251052354,0.034984551,0,0.1
5.96923E-4,15.546522519,0.260387374,0.034486196,0,0.1
6.12106E-4,15.789735119,0.266039837,0.034087511,0,0.1
6.18464E-4,16.035885092,0.268394248,0.033688827,0,0.1
6.45906E-4,16.290517078,0.27846895,0.033290143,0,0.1
6.55756E-4,16.551620229,0.282051215,0.032891458,0.060606061,0.1
6.6693E-4,16.751436828,0.286093689,0.032592445,0.060606061,0.1
6.78207E-4,17.02167017,0.290150264,0.032193761,0.060606061,0.1
6.9527E-4,17.298297055,0.296244298,0.031795076,0.060606061,0.1
7.16261E-4,17.511344158,0.303669471,0.031496063,0.060606061,0.1
7.33197E-4,17.801037862,0.309603147,0.031097379,0.090909091,0.1
7.44093E-4,18.022614415,0.31339382,0.030798365,0.090909091,0.1
7.60114E-4,18.324774496,0.318929804,0.030399681,0.090909091,0.1
7.81598E-4,18.557407913,0.326283481,0.030100668,0.090909091,0.1
7.93216E-4,18.79358795,0.330226937,0.029801655,0.090909091,0.1
7.96638E-4,19.032159265,0.331383995,0.029502641,0.090909091,0.1
8.13174E-4,19.273610797,0.336947539,0.029203628,0.090909091,0.1
8.17393E-4,19.518526333,0.33835975,0.028904615,0.090909091,0.1
8.23836E-4,19.765011778,0.34051018,0.028605602,0.090909091,0.1
8.45823E-4,20.01473548,0.347796613,0.028306588,0.090909091,0.1
8.63231E-4,20.271578002,0.353508707,0.028007575,0.090909091,0.1
8.73028E-4,20.53327701,0.35670114,0.027708562,0.090909091,0.1
