Predictor variable,Categorical,Sample average
BIOCLIM_1,false,79.33333333333333
BIOCLIM_12,false,1017.0909090909091
BIOCLIM_17,false,52.15151515151515
BIOCLIM_7,false,310.45454545454544
GTOPO30_ELEVATION,false,1215.090909090909
GTOPO30_SLOPE_reduced,false,5.242424242424242
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,20.272727272727273
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,58.21212121212121
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,47.63636363636363
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,49.81818181818182
LandCover_1_Needleleaf,false,81.93939393939394
LandCover_6_Herbaceous,false,1.4545454545454546
