Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.50612E-4,14.253524603,0.166619393,0.042958238,0.060606061,0.1
3.57992E-4,14.502065072,0.169810538,0.04226054,0.060606061,0.1
3.69678E-4,14.757876015,0.174838692,0.041562843,0.060606061,0.1
3.75439E-4,15.018329971,0.177306178,0.040865145,0.060606061,0.1
3.86817E-4,15.285305435,0.182158013,0.040167447,0.060606061,0.1
4.0171E-4,15.522588249,0.188465079,0.039569421,0.060606061,0.1
4.17615E-4,15.766543013,0.195147497,0.038971394,0.060606061,0.1
4.32734E-4,16.024041843,0.201448394,0.038373368,0.060606061,0.1
4.49677E-4,16.28998119,0.208450849,0.037775341,0.060606061,0.1
4.5336E-4,16.515928292,0.209964953,0.037276986,0.060606061,0.1
4.6349E-4,16.791110368,0.214114629,0.036678959,0.060606061,0.1
4.85406E-4,17.029145114,0.223017196,0.036180604,0.060606061,0.1
5.2402E-4,17.280091187,0.238458587,0.035682249,0.060606061,0.1
5.34775E-4,17.545914628,0.242704448,0.035183893,0.060606061,0.1
5.41357E-4,17.761059059,0.245291267,0.034785209,0.060606061,0.1
5.5941E-4,18.037089927,0.252340804,0.034286853,0.060606061,0.1
5.7363E-4,18.264133521,0.257847238,0.033888169,0.060606061,0.1
5.92076E-4,18.557610369,0.264929671,0.033389814,0.060606061,0.1
6.08507E-4,18.797466439,0.27118195,0.032991129,0.060606061,0.1
6.19019E-4,19.043504101,0.275153548,0.032592445,0.060606061,0.1
6.27621E-4,19.292809211,0.278387724,0.032193761,0.060606061,0.1
6.46039E-4,19.549508405,0.2852638,0.031795076,0.060606061,0.1
6.66746E-4,19.814335367,0.292916208,0.031396392,0.060606061,0.1
6.86881E-4,20.017109976,0.30027875,0.031097379,0.060606061,0.1
6.94987E-4,20.293438654,0.303221198,0.030698694,0.060606061,0.1
6.99486E-4,20.503197984,0.304848847,0.030399681,0.060606061,0.1
7.13694E-4,20.78642702,0.309964515,0.030000997,0.060606061,0.1
