Predictor variable,Categorical,Sample average
BIOCLIM_1,false,76.39393939393939
BIOCLIM_12,false,1015.0
BIOCLIM_17,false,54.09090909090909
BIOCLIM_7,false,313.72727272727275
GTOPO30_ELEVATION,false,1264.939393939394
GTOPO30_SLOPE_reduced,false,4.363636363636363
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,20.78787878787879
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,58.15151515151515
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,46.78787878787879
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,50.72727272727273
LandCover_1_Needleleaf,false,87.15151515151516
LandCover_6_Herbaceous,false,6.0606060606060606
