Predictor variable,Categorical,Sample average
BIOCLIM_1,false,78.45454545454545
BIOCLIM_12,false,1132.121212121212
BIOCLIM_17,false,58.39393939393939
BIOCLIM_7,false,310.8787878787879
GTOPO30_ELEVATION,false,1204.030303030303
GTOPO30_SLOPE_reduced,false,4.454545454545454
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,20.393939393939394
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,57.57575757575758
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,48.81818181818182
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,56.333333333333336
LandCover_1_Needleleaf,false,82.54545454545455
LandCover_6_Herbaceous,false,2.121212121212121
