Predictor variable,Categorical,Sample average
BIOCLIM_1,false,79.63636363636364
BIOCLIM_12,false,961.2424242424242
BIOCLIM_17,false,53.72727272727273
BIOCLIM_7,false,310.1515151515151
GTOPO30_ELEVATION,false,1149.3939393939395
GTOPO30_SLOPE_reduced,false,5.2727272727272725
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,20.575757575757574
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,58.666666666666664
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,46.63636363636363
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,49.27272727272727
LandCover_1_Needleleaf,false,88.78787878787878
LandCover_6_Herbaceous,false,1.2727272727272727
