X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-123.1629,42.0613,train,0.002439195168423593,47.074680325970604,0.6672252467549871
-122.68351138508179,41.75844631502727,train,0.015150991141244415,96.96974926068256,0.99892390486497
-121.8325,40.90611,train,0.010435491954072708,81.6561958950426,0.9909710177921464
-123.48442,40.95656,train,0.014119853056406409,91.1410846779548,0.9982866132889233
-122.6175,42.27,train,0.005357977168280042,68.64336603180375,0.9108035728149695
-123.4047,42.0958,train,0.003625657415015424,58.40298277532261,0.8051425920187621
-123.48442,40.95656,train,0.014119853056406409,91.1410846779548,0.9982866132889233
-122.7171,42.1837,train,1.2927149520891026E-4,6.401275965246964,0.05664508742230634
-123.51167,41.23472,train,0.004318838455601613,63.23388833592998,0.8574656481836722
-123.4341,42.1199,train,0.0049088023967589585,65.52649533355071,0.8907697627952282
-122.3238,42.9016,train,8.388423567145169E-4,19.780095196170638,0.31503733933767564
-123.20994065599051,41.56107450231362,train,0.011180235775768554,87.03826090518385,0.9935473214072298
-121.8325,40.90611,train,0.010435491954072708,81.6561958950426,0.9909710177921464
-122.68351138508179,41.75844631502727,train,0.015150991141244415,96.96974926068256,0.99892390486497
-122.68454520386886,41.99606294012204,train,0.005042095392880065,66.53122571367898,0.8971438743293116
-122.365,42.1178,train,4.8228473054997027E-4,14.012075986356612,0.19551456128584788
-123.20994065599051,41.56107450231362,train,0.011180235775768554,87.03826090518385,0.9935473214072298
-123.48442,40.95656,train,0.014119853056406409,91.1410846779548,0.9982866132889233
-121.8325,40.90611,train,0.010435491954072708,81.6561958950426,0.9909710177921464
-120.43444,38.56778,train,0.003996527090630892,60.68735841803463,0.8351602928939639
-122.9433,42.077,train,0.003378991677476512,55.564384449262064,0.7822090237906385
-123.51167,41.23472,train,0.004318838455601613,63.23388833592998,0.8574656481836722
-123.33600728002544,41.1594395089984,train,0.0028282059258479516,50.50645860534334,0.7207833185497847
-122.6527,43.5858,train,3.8918870276716597E-4,12.258216440144649,0.16101126294453239
-123.4575,42.1394,train,0.0015055664619272504,31.913890918350578,0.49294793293952555
-122.365,42.1178,train,4.8228473054997027E-4,14.012075986356612,0.19551456128584788
-122.28472,41.06805,train,0.0019555171528052116,40.898288944071645,0.5860907487851978
-123.1629,42.0613,train,0.002439195168423593,47.074680325970604,0.6672252467549871
-123.53725084469595,41.08796883920146,train,0.014895386357509144,95.45462677533017,0.9987923952047871
-122.3238,42.9016,train,8.388423567145169E-4,19.780095196170638,0.31503733933767564
-122.68351138508179,41.75844631502727,train,0.015150991141244415,96.96974926068256,0.99892390486497
-122.9433,42.077,train,0.003378991677476512,55.564384449262064,0.7822090237906385
-122.9433,42.077,train,0.003378991677476512,55.564384449262064,0.7822090237906385
-122.211,43.4838,test,8.656056039268357E-4,20.19160283253999,0.32325687359932553
-123.20994065599051,41.56107450231362,test,0.011180235775768554,87.03826090518385,0.9935473214072298
-120.45364272132403,38.54614085933125,test,0.004067139098911299,61.01323194304486,0.8403280553024315
-122.6527,43.5858,test,3.8918870276716597E-4,12.258216440144649,0.16101126294453239
-121.5203,45.7056,test,1.8276302017339393E-5,1.41922688565775,0.008210313522482804
-122.68351138508179,41.75844631502727,test,0.015150991141244415,96.96974926068256,0.99892390486497
-122.7171,42.1837,test,1.2927149520891026E-4,6.401275965246964,0.05664508742230634
-122.68351138508179,41.75844631502727,test,0.015150991141244415,96.96974926068256,0.99892390486497
-121.5203,45.7056,test,1.8276302017339393E-5,1.41922688565775,0.008210313522482804
-123.3814,42.1258,test,0.001056484588106829,23.559544267455504,0.379088395876949
