Predictor variable,Categorical,Sample average
BIOCLIM_1,false,80.39393939393939
BIOCLIM_12,false,993.2424242424242
BIOCLIM_17,false,53.84848484848485
BIOCLIM_7,false,315.72727272727275
GTOPO30_ELEVATION,false,1133.3333333333333
GTOPO30_SLOPE_reduced,false,5.303030303030303
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,21.484848484848484
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,58.45454545454545
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,46.515151515151516
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,51.484848484848484
LandCover_1_Needleleaf,false,88.75757575757575
LandCover_6_Herbaceous,false,0.9090909090909091
