Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.51605E-12,0.000000001,0.000000001,0.99910296,0,0
1.13056E-11,0.000000004,0.000000006,0.998803947,0,0
1.98967E-11,0.000000011,0.00000001,0.998305592,0,0
2.76868E-11,0.000000025,0.000000014,0.997707565,0,0
6.0645E-11,0.000000104,0.00000003,0.996013157,0,0
1.17814E-10,0.000000261,0.000000058,0.994318748,0,0
2.60657E-10,0.000001012,0.000000127,0.990431576,0,0
4.33632E-10,0.000002536,0.000000212,0.986046048,0,0
9.81691E-10,0.000010065,0.00000048,0.975979268,0,0
1.74457E-9,0.000025155,0.000000853,0.964816107,0,0
2.74452E-9,0.000050021,0.000001342,0.953951959,0,0
4.39476E-9,0.000100315,0.000002149,0.939599322,0,0
7.83623E-9,0.000250496,0.000003832,0.91458188,0,0
1.20668E-8,0.000500335,0.000005901,0.889265424,0,0
1.89125E-8,0.00100049,0.000009249,0.856872321,0,0
3.58218E-8,0.002501071,0.000017518,0.800159474,0,0
6.10397E-8,0.005001224,0.00002985,0.747632812,0,0
1.04625E-7,0.010009885,0.000051164,0.685637397,0,0
2.35571E-7,0.025023198,0.000115196,0.593042958,0,0
4.33989E-7,0.050036701,0.000212213,0.51609688,0,0
8.25143E-7,0.100021764,0.000403442,0.434266919,0,0
1.67541E-6,0.200150506,0.000818998,0.350642879,0,0
2.59988E-6,0.300016193,0.001270623,0.303498455,0,0
3.67204E-6,0.400354805,0.001794142,0.27090601,0,0
4.81017E-6,0.500440439,0.002349571,0.247283963,0,0
6.14069E-6,0.600285879,0.002998505,0.229044154,0,0
7.55687E-6,0.700009306,0.003688746,0.214591847,0,0
8.29275E-6,0.750545272,0.004047227,0.208212897,0,0
9.19809E-6,0.800878863,0.00448808,0.202431974,0,0
1.08537E-5,0.900046239,0.005293759,0.192564537,0,0
1.26023E-5,1.000370005,0.006144014,0.183992824,0,0
1.43546E-5,1.101017443,0.006995316,0.176517492,0,0
1.60018E-5,1.201268622,0.007794893,0.169939201,0,0
1.76113E-5,1.300406965,0.008575569,0.164058607,0,0
1.93305E-5,1.400838419,0.00940875,0.158676368,0,0
2.10318E-5,1.501004442,0.010232543,0.153692814,0,0
2.60727E-5,1.751249369,0.012669489,0.143028008,0,0
2.99172E-5,2.002729751,0.014524038,0.13405761,0,0
3.44187E-5,2.250257524,0.016691082,0.126382936,0,0
3.97825E-5,2.500106441,0.019266969,0.119704974,0,0
4.46426E-5,2.751924118,0.021595186,0.113724708,0,0
4.8916E-5,3.000085836,0.023637727,0.108442141,0,0
5.43223E-5,3.252702047,0.026215702,0.103558258,0,0
5.98037E-5,3.503870908,0.028822546,0.09917273,0,0
6.591E-5,3.756499547,0.031718345,0.095185887,0,0
7.27452E-5,4.004574162,0.034949528,0.091597727,0,0
7.86925E-5,4.251928956,0.037752252,0.088308582,0,0
8.40179E-5,4.502991367,0.040254957,0.085218778,0,0
9.21609E-5,4.756652513,0.044069304,0.082328317,0,0
1.00076E-4,5.006100634,0.047762462,0.079736868,0,0
1.05209E-4,5.252442364,0.050149582,0.077344762,0,0
1.10634E-4,5.5001034,0.052666021,0.075052327,0,0
1.18898E-4,5.753192025,0.056487015,0.072859563,0,0
1.24722E-4,6.009132582,0.059170309,0.070766471,0.03030303,0
1.29204E-4,6.262608424,0.061230515,0.068773049,0.03030303,0
1.34683E-4,6.513357534,0.063742523,0.066879298,0.03030303,0
1.40743E-4,6.761550856,0.06651286,0.065085219,0.03030303,0
1.48452E-4,7.009861572,0.070025362,0.06339081,0.03030303,0
1.54232E-4,7.253564134,0.072650669,0.061796073,0.03030303,0
1.60681E-4,7.506534652,0.0755706,0.060201336,0.03030303,0
1.65359E-4,7.75087947,0.077682718,0.058706269,0.03030303,0
1.75194E-4,8.006297004,0.082108302,0.057211203,0.03030303,0
1.85056E-4,8.260651592,0.086524578,0.055815808,0.03030303,0
1.96726E-4,8.509806444,0.091722908,0.054520084,0.03030303,0
2.13774E-4,8.753808339,0.099263917,0.053324031,0.03030303,0
2.2976E-4,9.01924164,0.106278093,0.052127978,0.03030303,0
2.40089E-4,9.25413394,0.110781012,0.051131267,0.03030303,0
2.47141E-4,9.522584046,0.113842314,0.050034885,0.03030303,0
2.61172E-4,9.775890985,0.119902002,0.049038174,0.03030303,0
2.77435E-4,10.023011413,0.126873715,0.048141134,0.03030303,0
2.83867E-4,10.276165507,0.129616097,0.047244094,0.03030303,0
2.89372E-4,10.505345653,0.131955997,0.046446726,0.03030303,0
2.97971E-4,10.770648522,0.135598666,0.045549686,0.03030303,0
3.08878E-4,11.012571645,0.14019678,0.044752317,0.03030303,0
3.22415E-4,11.267050712,0.145870124,0.043954949,0.03030303,0
3.34779E-4,11.53059872,0.151019123,0.04315758,0.03030303,0
