Predictor variable,Categorical,Sample average
BIOCLIM_1,false,85.78787878787878
BIOCLIM_12,false,1003.4848484848485
BIOCLIM_17,false,53.57575757575758
BIOCLIM_7,false,313.8484848484849
GTOPO30_ELEVATION,false,1022.9090909090909
GTOPO30_SLOPE_reduced,false,5.515151515151516
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,19.90909090909091
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,58.303030303030305
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,45.696969696969695
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,50.06060606060606
LandCover_1_Needleleaf,false,84.60606060606061
LandCover_6_Herbaceous,false,2.909090909090909
