species,x,y
Lithophragma_glabrum,-123.13639,48.58556
Lithophragma_glabrum,-123.136389,48.585556
Lithophragma_glabrum,-121.7,50.6
Lithophragma_glabrum,-121.56667,50.36667
Lithophragma_glabrum,-121.55,50.73333
Lithophragma_glabrum,-121.405,42.1989
Lithophragma_glabrum,-121.3142,44.0583
Lithophragma_glabrum,-120.82056,45.733955
Lithophragma_glabrum,-120.82056,45.73396
Lithophragma_glabrum,-120.82056,45.907705
Lithophragma_glabrum,-120.82056,45.90771
Lithophragma_glabrum,-120.774078,48.199335
Lithophragma_glabrum,-120.612267,47.144867
Lithophragma_glabrum,-120.581983,47.250917
Lithophragma_glabrum,-120.58198,47.25092
Lithophragma_glabrum,-120.5263,47.32363
Lithophragma_glabrum,-120.5263,47.323633
Lithophragma_glabrum,-120.50472,46.60222
Lithophragma_glabrum,-120.5,49.45
Lithophragma_glabrum,-120.423633,47.59845
Lithophragma_glabrum,-120.42363,47.59845
Lithophragma_glabrum,-120.244633,47.146533
Lithophragma_glabrum,-120.24463,47.14653
Lithophragma_glabrum,-120.23864,39.42692
Lithophragma_glabrum,-120.06667,49.35
Lithophragma_glabrum,-119.7809,47.3243
Lithophragma_glabrum,-119.48333,49.08333
Lithophragma_glabrum,-119.36896,47.59282
Lithophragma_glabrum,-119.3507,47.5891
Lithophragma_glabrum,-119.25,50.25
Lithophragma_glabrum,-119.243,37.9093
Lithophragma_glabrum,-119.1145,47.8669
Lithophragma_glabrum,-118.81667,46.4
Lithophragma_glabrum,-118.816667,46.4
Lithophragma_glabrum,-118.725972,46.926132
Lithophragma_glabrum,-118.71018,46.90667
Lithophragma_glabrum,-118.659225,47.758881
Lithophragma_glabrum,-117.585578,47.485979
Lithophragma_glabrum,-117.57472,47.4875
Lithophragma_glabrum,-117.568817,47.422513
Lithophragma_glabrum,-117.499251,47.557197
Lithophragma_glabrum,-117.49833,47.565
Lithophragma_glabrum,-117.441874,47.642666
Lithophragma_glabrum,-117.403128,45.939942
Lithophragma_glabrum,-117.356129,47.766445
Lithophragma_glabrum,-117.228,46.514
Lithophragma_glabrum,-117.2171,46.4638
Lithophragma_glabrum,-117.205542,46.41958
Lithophragma_glabrum,-117.20554,46.41958
Lithophragma_glabrum,-117.17861,46.73139
Lithophragma_glabrum,-117.151,46.866
Lithophragma_glabrum,-117.08617,46.41638
Lithophragma_glabrum,-117.08617,46.416382
Lithophragma_glabrum,-117.055342,46.851925
Lithophragma_glabrum,-117.053783,46.85655
Lithophragma_glabrum,-116.99917,46.81936
Lithophragma_glabrum,-116.99917,46.819361
Lithophragma_glabrum,-116.9854,46.8239
Lithophragma_glabrum,-116.96346,44.222298
Lithophragma_glabrum,-116.96346,44.2223
Lithophragma_glabrum,-116.93943,46.69154
Lithophragma_glabrum,-116.939429,46.691538
Lithophragma_glabrum,-116.923465,42.752101
Lithophragma_glabrum,-116.766389,43.891944
Lithophragma_glabrum,-116.706183,44.81605
Lithophragma_glabrum,-116.64556,46.61417
Lithophragma_glabrum,-116.566667,43.066667
Lithophragma_glabrum,-116.397483,45.353217
Lithophragma_glabrum,-116.309767,47.14395
Lithophragma_glabrum,-116.28712,44.70056
Lithophragma_glabrum,-116.23948,43.38512
Lithophragma_glabrum,-116.233333,43.666667
Lithophragma_glabrum,-116.20728,45.09349
Lithophragma_glabrum,-116.203506,43.640803
Lithophragma_glabrum,-116.192722,43.634472
Lithophragma_glabrum,-116.186283,45.26855
Lithophragma_glabrum,-116.18085,43.621219
Lithophragma_glabrum,-116.146667,43.911389
Lithophragma_glabrum,-116.1088,42.0078
Lithophragma_glabrum,-116.0833333,43.4666667
Lithophragma_glabrum,-116.08,43.46
Lithophragma_glabrum,-116.06667,44.1
Lithophragma_glabrum,-116.066667,44.1
Lithophragma_glabrum,-116.04166,44.51638
Lithophragma_glabrum,-116.0219,47.4191
Lithophragma_glabrum,-116.0004,43.6307
Lithophragma_glabrum,-115.86667,43.21667
Lithophragma_glabrum,-115.866667,43.216667
Lithophragma_glabrum,-115.73333,49.78333
Lithophragma_glabrum,-115.7108,43.1651
Lithophragma_glabrum,-115.3914,43.5963
Lithophragma_glabrum,-115.222867,44.3597
Lithophragma_glabrum,-115.033067,43.236133
Lithophragma_glabrum,-115.0056,44.4737
Lithophragma_glabrum,-114.84152,45.08844
Lithophragma_glabrum,-114.7547,43.1917
Lithophragma_glabrum,-114.5563,43.1627
Lithophragma_glabrum,-114.3165,43.536
Lithophragma_glabrum,-114.255867,42.9621
Lithophragma_glabrum,-114.06667,49.05
