species,x,y
Suksdorfia_ranunculifolia,-116.018,44.924
Suksdorfia_ranunculifolia,-115.9739,45.1004
Suksdorfia_ranunculifolia,-115.919331,48.206049
Suksdorfia_ranunculifolia,-115.91565,45.05006
Suksdorfia_ranunculifolia,-115.911667,45.050833
Suksdorfia_ranunculifolia,-115.83972,47.69333
Suksdorfia_ranunculifolia,-115.757761,47.636944
Suksdorfia_ranunculifolia,-115.750945,44.071634
Suksdorfia_ranunculifolia,-115.75094,44.07163
Suksdorfia_ranunculifolia,-115.7277,48.2137
Suksdorfia_ranunculifolia,-115.667107,48.221337
Suksdorfia_ranunculifolia,-115.6635,48.2137
Suksdorfia_ranunculifolia,-115.663192,48.231196
Suksdorfia_ranunculifolia,-115.499414,47.178708
Suksdorfia_ranunculifolia,-115.489217,47.1856
Suksdorfia_ranunculifolia,-115.403014,46.237869
Suksdorfia_ranunculifolia,-115.304458,46.786519
Suksdorfia_ranunculifolia,-115.277272,46.944694
Suksdorfia_ranunculifolia,-115.1722,46.07715
Suksdorfia_ranunculifolia,-115.172197,46.077149
Suksdorfia_ranunculifolia,-115.13,46.3162
Suksdorfia_ranunculifolia,-114.90746,43.8956
Suksdorfia_ranunculifolia,-114.907459,43.895603
Suksdorfia_ranunculifolia,-114.8799,45.9681
Suksdorfia_ranunculifolia,-114.585,44.03972
Suksdorfia_ranunculifolia,-114.474263,46.132143
Suksdorfia_ranunculifolia,-114.360647,45.986586
Suksdorfia_ranunculifolia,-114.342589,45.846863
Suksdorfia_ranunculifolia,-114.25761,46.642423
Suksdorfia_ranunculifolia,-114.254831,46.60159
Suksdorfia_ranunculifolia,-114.233423,46.063532
Suksdorfia_ranunculifolia,-114.220944,46.683534
Suksdorfia_ranunculifolia,-114.189,46.1172
Suksdorfia_ranunculifolia,-114.172868,46.117977
Suksdorfia_ranunculifolia,-114.06667,49.05
Suksdorfia_ranunculifolia,-114.03333,49.15
Suksdorfia_ranunculifolia,-114.00816,49.06776
Suksdorfia_ranunculifolia,-113.938967,45.807698
Suksdorfia_ranunculifolia,-113.848729,48.951925
Suksdorfia_ranunculifolia,-113.80527,48.02861
Suksdorfia_ranunculifolia,-113.735949,48.704419
Suksdorfia_ranunculifolia,-113.69789,48.634417
Suksdorfia_ranunculifolia,-113.674648,48.693497
Suksdorfia_ranunculifolia,-113.642608,48.814146
Suksdorfia_ranunculifolia,-113.505621,45.942145
Suksdorfia_ranunculifolia,-113.499825,48.694976
Suksdorfia_ranunculifolia,-113.41647,47.829666
Suksdorfia_ranunculifolia,-112.49151,45.69558
